,X,Condition,Price,Model_Year,Mileage,Exterior_Color,Make,Type,Feedback_Perc,N_Reviews,Seller_Status,Auction,Buy_Now,num_pos_words,uses_excl,all_caps,has_warranty,review_polarity,review_positivity
41,41,Used,10890.42,2011,10000,black,Harley-Davidson,Touring,100,97,Private Seller,TRUE,TRUE,1,TRUE,FALSE,FALSE,1,0.75
42,42,Used,16477.72,2006,37600,other,Harley-Davidson,Touring,4.7,3061,Private Seller,FALSE,TRUE,1,FALSE,TRUE,FALSE,0.1,0.1
43,43,Used,38289.55,2014,12649,other,Harley-Davidson,Custom,100,238,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
44,44,Used,4870.05,2003,1350,black,Harley-Davidson,Cruiser,100,37,Private Seller,FALSE,TRUE,2,FALSE,FALSE,FALSE,0.345833333,0.654166667
45,45,Used,5249.27,2005,13000,other,Harley-Davidson,Standard,9.6,3552,Private Seller,FALSE,TRUE,1,FALSE,FALSE,FALSE,0,0
46,46,Used,13429.77,2012,3644,black,Harley-Davidson,Touring,100,463,Private Seller,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.6,0.6
47,47,Used,3446.61,2003,22896,blue,Harley-Davidson,Cruiser,100,109,Private Seller,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
48,48,Used,14406.89,2009,16500,black,Harley-Davidson,Touring,100,63,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
49,49,Used,10325.88,2003,14950,black,Harley-Davidson,Touring,100,18,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
50,50,Used,13025.95,2000,48505,red,Harley-Davidson,Trike,100,1645,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,-0.1625,0.975
51,51,Used,13420.38,2012,34696,red,Harley-Davidson,Touring,100,1,other,FALSE,TRUE,0,TRUE,TRUE,TRUE,1,0.75
52,52,Used,7387.27,2015,1530,other,Harley-Davidson,Dual-Purpose,100,18,Private Seller,TRUE,TRUE,0,FALSE,FALSE,TRUE,0,0
53,53,Used,9556.22,2008,39242,red,Harley-Davidson,Touring,100,4,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
54,54,Used,12044.79,1972,4065,red,Harley-Davidson,Touring,100,162,Private Seller,TRUE,FALSE,3,FALSE,FALSE,FALSE,0.5,0.5
