"","Condition","Price","Model_Year","Mileage","Exterior_Color","Make","Type","Feedback_Perc","N_Reviews","Seller_Status","Auction","Buy_Now","num_pos_words","uses_excl","all_caps","has_warranty","review_polarity","review_positivity"
"5245","Used",2964.99,2003,66219,"blue","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4461","Used",19154.92,2014,13679,"blue","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"3588","Used",8462.86,2009,15896,"black","BMW","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2790","Used",5099.44,2006,31447,"grey","Suzuki","Cruiser",100,363,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"4036","Used",12647.27,2016,0,"green","Kawasaki","Off-Road",86,41,"other",FALSE,TRUE,1,FALSE,0,FALSE,0.7,0.6
"4354","Used",14238.37,2007,20486,"other","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"362","Used",6472.03,2006,40000,"blue","Harley-Davidson","Touring",100,3,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"4247","Used",7032.95,2006,12029,"red","Kawasaki","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3742","Used",7500.03,2012,1714,"orange","Triumph","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1262","Used",4825.07,2005,24168,"black","Yamaha","Sport Bike",100,159,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"5095","New",21780,2017,7,"white","Triumph","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1131","Used",14452.93,2016,670,"white","Triumph","Standard",100,3,"Private Seller",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"25","Used",9239.58,2008,10319,"black","Harley-Davidson","Touring",100,324,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4497","Used",7239.35,1993,24465,"other","Yamaha","Sport Bike",3.4,738,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"709","Used",6614.78,2009,9800,"blue","Harley-Davidson","Cruiser",100,344,"Owner",TRUE,TRUE,2,FALSE,0,FALSE,0.245454545,0.684848485
"1158","Used",2746.78,1971,8521,"blue","Honda","Dual-Purpose",8.9,133,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0.3,0.5
"1457","Used",24417.35,2004,42846,"white","Honda","Trike",80,98,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4304","Used",3850.59,2014,6353,"green","Kawasaki","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"2510","New",6318.4,2017,0,"other","Kawasaki","Off-Road",100,689,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1427","New",15178.68,2017,1,"black","Yamaha","Sport Bike",100,35,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"4113","Used",6489.14,2009,11796,"white","Honda","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2738","Used",20789.39,2015,4726,"black","BMW","Standard",100,92,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"832","Used",5124.42,1984,5417,"black","Kawasaki","Sport Bike",100,190,"Private Seller",TRUE,FALSE,2,FALSE,0,FALSE,0.5,0.65
"1514","Used",45873.48,2015,348,"black","Harley-Davidson","Other",100,238,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"2173","Used",12023.58,2015,1800,"white","Ducati","Naked",100,119,"Private Seller",FALSE,TRUE,1,FALSE,1,TRUE,0.1,0.4
"5251","Used",6915,2012,0,"blue","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"690","Used",15288.98,2013,29800,"black","Harley-Davidson","Touring",100,146,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"796","Used",2625.96,2006,27000,"white","Harley-Davidson","Touring",100,1,"Owner",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1724","Used",15759.89,2016,1275,"red","BMW","Sport Bike",100,60,"Private Seller",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"1306","New",16497.36,2017,0,"grey","Kawasaki","Sport Bike",100,903,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"2032","Used",7451.05,1998,24224,"white","Yamaha","Sport Bike",100,279,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2258","New",1669.54,2017,1,"green","Other","Dual-Purpose",5.8,582,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"3834","Used",15103.83,2016,1751,"other","BMW","Touring",100,1162,"other",FALSE,TRUE,1,FALSE,0,FALSE,0.53,0.715
"3727","Used",11401.69,2013,5072,"green","Can-Am","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4681","Used",12908.18,2013,4366,"black","Triumph","Gasoline",50,397,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4888","Used",6471.89,2006,36344,"black","Suzuki","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2347","Used",9795.52,2008,5700,"white","Ducati","Sport Bike",100,95,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4413","Used",17497.99,2013,10835,"other","Harley-Davidson","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"491","Used",5685.19,2000,10000,"black","Harley-Davidson","Standard",100,857,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,0.476666667,0.91
"3710","Used",19961.19,2015,4407,"black","Harley-Davidson","Cruiser",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4633","Used",12564.96,2013,1987,"grey","Suzuki","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2237","Used",6502.47,2015,6651,"red","Yamaha","Sport Bike",100,8,"other",FALSE,TRUE,1,FALSE,1,FALSE,0,0
"3922","Used",4495.01,2011,24326,"blue","Suzuki","Sport Bike",9.1,218,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4879","Used",8684.51,2010,14746,"other","KTM","Gasoline",100,1452,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"677","Used",11025.58,2013,18185,"blue","Harley-Davidson","Cruiser",100,297819,"other",FALSE,TRUE,1,FALSE,0,TRUE,0.825,0.875
"4003","Used",1342.98,1965,4926,"red","Honda","Standard",8.9,1071,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1944","Used",8154.61,2016,1260,"white","Honda","Standard",100,92,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"928","New",6380.14,2014,2,"red","Honda","Touring",9.9,32557,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"2601","Used",13078.36,2016,1927,"other","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1691","Used",6415.08,2016,1316,"green","Kawasaki","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3789","Used",745.49,1970,14055,"other","Honda","Dual-Purpose",100,9,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2124","Used",845.01,2010,10927,"black","Honda","Cruiser",8.4,1758,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"3052","Used",8617.7,2017,889,"other","Harley-Davidson","Gasoline",100,532,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"116","Used",22699.77,2015,7023,"black","Harley-Davidson","Touring",100,499,"other",TRUE,FALSE,3,TRUE,0,FALSE,0.566666667,0.788888889
"4470","New",7679.28,2017,0,"red","Other","Gasoline",9.7,3060,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1417","Used",1915.77,1983,41054,"black","Kawasaki","Standard",100,93,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"1528","Used",4546.64,1993,12000,"red","Harley-Davidson","Cruiser",6.9,698,"Private Seller",TRUE,FALSE,2,FALSE,0,FALSE,0.377083333,0.616666667
"2677","Used",3950.1,2016,539,"other","Harley-Davidson","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"2916","Used",4783.01,2006,5995,"red","Triumph","Sport Bike",8.6,621,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3423","New",33099.1,2017,1,"red","Indian","Touring",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4982","New",16716.9,2015,0,"other","Triumph","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3803","Used",7274.45,2011,26768,"orange","Can-Am","Sport Bike",3.4,738,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1729","Used",863.84,1982,999999,"black","Triumph","Dual-Purpose",9.9,42714,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1253","New",11151.34,2014,1,"other","Yamaha","Cruiser",9.2,5605,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"2944","Used",16416.26,2015,2089,"black","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4389","Used",9786.52,2014,26860,"black","Kawasaki","Gasoline",100,1452,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2302","Used",1033.94,1986,0,"white","Yamaha","Off-Road",100,68,"Private Seller",TRUE,TRUE,1,TRUE,0,FALSE,1,1
"2724","Used",19704.7,2014,837,"blue","BMW","Standard",100,92,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3898","New",30714.1,2017,1,"other","Can-Am","Standard",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"5148","Used",28942.24,2015,225,"green","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"4622","Used",12528.86,2001,13760,"grey","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"2668","New",11488.96,2015,300,"black","Triumph","Sport Bike",100,86,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1444","New",7126,2015,0,"black","Yamaha","Cruiser",100,673,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"1761","New",9249.2,2017,2,"white","BMW","Other",9.2,1742,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4217","Used",4280.18,2005,12989,"other","Harley-Davidson","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1599","Used",9793.53,2011,7310,"black","Harley-Davidson","Sport Bike",100,259,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"952","New",6702.28,2016,1,"other","Yamaha","Naked",9.2,5605,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4945","New",10224.5,2017,0,"red","Ducati","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"5132","Used",17491.87,2016,26183,"other","Harley-Davidson","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1281","Used",12518.17,2003,32315,"other","Honda","Trike",100,107,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1266","Used",1743.17,1982,1,"red","Honda","Off-Road",9.3,1661,"other",TRUE,FALSE,0,FALSE,0,FALSE,0.1,0.4
"4887","Used",13671.11,2012,879,"green","Can-Am","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"5276","Used",5573.35,2007,28716,"other","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2038","Used",6790.15,2000,29400,"black","Harley-Davidson","Cruiser",100,1,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,0.54375,0.6375
"4584","Used",15227.18,2002,6515,"black","Harley-Davidson","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3151","Used",25167.47,2009,4245,"black","Other","Gasoline",100,532,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3752","Used",9792.84,2012,14861,"blue","Yamaha","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1155","Used",12348.21,2016,1121,"blue","Harley-Davidson","Other",9.8,4391,"Private Seller",FALSE,TRUE,1,TRUE,0,TRUE,0,0
"1848","Used",8119.42,2002,23352,"other","Harley-Davidson","Sport Bike",100,874,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"4993","New",10176,2018,0,"white","Triumph","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1367","Used",5931.4,2003,8600,"white","Harley-Davidson","Cruiser",100,44,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3587","New",8792.1,2010,1,"red","Other","Standard",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"455","Used",7970.38,2001,34258,"black","Harley-Davidson","Touring",100,1606,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,0.136363636,0.454545455
"4606","New",10228.9,2017,2,"white","Indian","Gasoline",100,501,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1681","Used",13621.14,2015,610,"black","Harley-Davidson","Trike",100,240,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,1,1
"1807","New",5369.72,2003,27655,"black","Honda","Sport Bike",100,621,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"733","Used",10752.64,2005,83793,"other","Honda","Cruiser",100,120,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1100","Used",8470.5,2014,8350,"black","Harley-Davidson","Cruiser",100,179,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2728","Used",4171.34,2000,4750,"red","Kawasaki","Cruiser",100,73,"Owner",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1741","Used",8250,2017,0,"red","Honda","Off-Road",100,812,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4380","Used",10222.21,2008,19316,"blue","Suzuki","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3321","Used",16380.66,2013,18292,"yellow","Can-Am","Touring",100,179,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"679","Used",2467.84,2008,20478,"red","Harley-Davidson","Cruiser",5.8,341,"other",TRUE,FALSE,0,TRUE,0,FALSE,0.4,0.625
"2164","Used",1557.72,2011,11785,"blue","Yamaha","Sport Bike",100,1940,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0.258333333,0.491666667
"1136","Used",1552.47,2008,2844,"black","Yamaha","Cruiser",100,193,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"429","Used",8675.57,2005,23000,"black","Harley-Davidson","Touring",100,672,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3463","Used",8109.91,2009,5819,"other","Harley-Davidson","Gasoline",100,28,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"327","Used",9957.82,2006,3850,"blue","Harley-Davidson","Touring",100,204,"Private Seller",FALSE,TRUE,1,TRUE,0,FALSE,0.170454545,0.454545455
"2958","Used",18575.8,2015,18404,"black","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3571","Used",17128.64,2016,77,"black","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"4040","Used",7059.65,2015,3245,"other","Harley-Davidson","Gasoline",100,220,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"103","Used",14225.98,2012,540,"other","Harley-Davidson","Sport Bike",100,661,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"918","Used",5379.48,2000,3301,"orange","Harley-Davidson","Cruiser",100,505,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"503","Used",6099.79,2009,4570,"blue","Harley-Davidson","Standard",100,74,"Private Seller",FALSE,TRUE,1,TRUE,0,FALSE,1,1
"1585","Used",1202.97,2012,30954,"other","BMW","Touring",100,570,"other",TRUE,TRUE,1,FALSE,0,FALSE,0.366666667,0.7
"347","Used",27432.17,2015,10205,"other","Harley-Davidson","Touring",8.8,101,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"1162","Used",3481.62,1986,4939,"white","Yamaha","Touring",100,2077,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0.8,0.75
"2329","Used",5391.33,2012,11130,"green","Kawasaki","Standard",100,47,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1350","Used",3143.98,1994,60000,"black","BMW","Touring",100,86,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1550","Used",1865.12,2013,2803,"red","Honda","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3925","New",27383.1,2016,1,"white","Can-Am","Touring",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2821","Used",1213.38,1981,2301,"blue","Honda","Standard",100,598,"Private Seller",TRUE,FALSE,1,TRUE,0,FALSE,0.464,0.61
"3332","Used",899.28,2015,5839,"red","Ducati","Gasoline",100,342,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"3132","Used",2020.34,1997,11689,"yellow","Other","Cruiser",9.7,1159,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1872","Used",1484.35,1981,11671,"blue","Honda","Sport Bike",100,2335,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"2789","New",12569.56,2013,1400,"orange","KTM","Gasoline",100,480,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"305","New",15884,2017,10,"white","BMW","Standard",100,12,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4352","Used",4272.54,2008,50819,"other","Yamaha","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3243","Used",19677.57,2015,5133,"black","Harley-Davidson","Gasoline",100,532,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1574","Used",885.07,2007,4880,"blue","Yamaha","Scooter",100,168,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1408","Used",11259.2,2015,7190,"grey","Other","Trike",7.9,205,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1826","Used",19422.07,2008,14662,"black","Harley-Davidson","Other",100,238,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"4450","Used",18034.71,2016,340,"black","Indian","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4667","Used",8386.85,2015,2454,"grey","Suzuki","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"613","Used",21380.16,2014,592,"other","Harley-Davidson","Touring",100,64,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2505","Used",10870.81,2011,40910,"green","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"5258","Used",5880.34,2012,11679,"black","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"270","Used",17.94,2014,5464,"white","Harley-Davidson","Cruiser",100,117,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"3188","Used",14144.11,2016,19705,"black","Indian","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3829","Used",10361.91,2014,3290,"red","Ducati","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"846","Used",10884.38,2004,4500,"black","Harley-Davidson","Standard",100,18,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2625","Used",9417.78,2010,37105,"other","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1352","Used",5045.31,2005,12500,"other","Kawasaki","Touring",100,16,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0.05,0.416666667
"4221","New",25861,2017,0,"black","BMW","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3339","Used",14228.87,2015,475,"white","Ducati","Gasoline",100,772,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3019","Used",8164.66,2012,11500,"blue","Victory","Touring",100,415,"Private Seller",TRUE,TRUE,1,FALSE,0,FALSE,0.91,0.78
"908","Used",13036.01,1985,22000,"blue","Harley-Davidson","Touring",100,68,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"187","Used",5452.93,2005,29956,"blue","Harley-Davidson","Cruiser",9.1,218,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"5009","Used",6921.45,2007,10993,"black","Harley-Davidson","Cruiser",100,163,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4876","Used",19101.97,2014,12005,"black","Harley-Davidson","Gasoline",50,397,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2740","Used",159.9,2007,13500,"other","Kawasaki","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"5248","Used",3615.5,2015,424,"black","Suzuki","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2872","Used",6418.96,2004,22119,"other","Victory","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1812","New",951,2016,0,"other","Honda","Cruiser",8.4,1758,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"2750","Used",8687.4,2014,4723,"other","BMW","Standard",100,92,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"520","Used",7849.11,2009,482,"white","Harley-Davidson","Cruiser",100,37,"Private Seller",TRUE,TRUE,1,FALSE,0,FALSE,0.120265152,0.431439394
"274","Used",4817.53,2000,18900,"red","Harley-Davidson","Touring",100,62,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1140","Used",33884.59,2016,1443,"red","Honda","Touring",100,35,"other",FALSE,TRUE,2,FALSE,0,TRUE,0.5,0.65
"4859","Used",16389.67,2011,16692,"other","Can-Am","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3838","Used",12948.27,2014,7635,"blue","BMW","Touring",100,1162,"other",FALSE,TRUE,0,FALSE,0,FALSE,0.8,0.75
"3975","Used",9048.02,2014,1994,"blue","Suzuki","Sport Bike",100,443,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2383","Used",1574.99,1972,13367,"other","Yamaha","Standard",6.8,224,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"5238","Used",3023.11,2016,2669,"red","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2291","Used",969.58,1989,1706,"red","Suzuki","Sport Bike",100,111,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"5163","New",29148.9,2017,3,"orange","Other","Gasoline",100,312,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4755","Used",21941.94,2017,214,"blue","Harley-Davidson","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4202","New",25861,2017,0,"white","BMW","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"543","Used",20307.55,2015,10546,"black","Harley-Davidson","Touring",100,34,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0.128571429,0.485714286
"328","Used",19135.8,2010,22463,"black","Harley-Davidson","Touring",100,257,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4039","Used",8134.17,2016,359,"black","Triumph","Gasoline",100,501,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"5037","New",11330,2017,7,"black","Triumph","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1358","Used",2111.11,2008,18743,"white","Kawasaki","Sport Bike",100,1,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"1270","Used",17049,2016,20,"black","Kawasaki","Café Racer",100,24,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1546","Used",1404.33,1987,11387,"white","Honda","Dual-Purpose",8.5,389,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0.046428571,0.533928571
"4510","Used",5860.66,2005,20624,"black","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"148","Used",29028.66,2007,25183,"other","Harley-Davidson","Touring",100,239,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3556","Used",14115.37,1998,9541,"black","Harley-Davidson","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1623","Used",19629.18,2014,0,"red","Other","Custom",100,31,"Private Seller",FALSE,TRUE,2,FALSE,0,FALSE,1,1
"1894","Used",5698.69,2007,39368,"white","Honda","Touring",100,147,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2832","New",10254.5,2014,0,"blue","Other","Other",100,29,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"5090","New",10175,2017,7,"red","Triumph","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"5101","New",14465,2017,7,"white","Triumph","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"150","Used",6026.04,2007,39334,"blue","Harley-Davidson","Touring",100,616,"other",TRUE,FALSE,1,TRUE,1,FALSE,0.125,0.4
"1201","Used",8139.75,2006,6800,"white","Harley-Davidson","Other",100,1,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3889","Used",7583.69,2010,16016,"other","Harley-Davidson","Gasoline",100,1452,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3776","New",11548.9,2017,0,"black","Triumph","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4557","Used",13665.88,2015,1740,"black","Harley-Davidson","Cruiser",100,163,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4513","Used",11261.54,2015,1167,"black","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"3040","New",74239.78,2017,1375,"red","Other","Sport Bike",100,122,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"266","New",10290.34,2017,0,"other","Yamaha","Touring",9.2,5605,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"4738","Used",9609.47,2016,155,"other","Harley-Davidson","Gasoline",50,397,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"497","Used",5042.17,2010,2875,"blue","Other","Other",9.6,927,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,0.5,1
"3070","Used",25076.8,2016,0,"black","Harley-Davidson","Gasoline",100,2746,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3642","New",26799.1,2017,1,"red","Indian","Cruiser",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1618","Used",456.09,2012,13235,"white","Honda","Sport Bike",100,61,"Private Seller",TRUE,TRUE,1,FALSE,0,FALSE,0,0
"734","Used",20938.45,2015,13427,"black","Harley-Davidson","Touring",100,254,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1505","New",48708,2017,1,"white","Honda","Trike",100,430,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"2033","Used",657.03,1986,40000,"red","Honda","Touring",100,120,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
